knee_angle,head_angle,waist_length,y
113.42707306157342,140.52592232756405,-54.5,0
112.67642522957183,140.60756019593975,-53.5,0
116.0132029264768,137.8970357358502,-56.5,0
105.6948212074085,136.33356776784856,-63.0,0
101.62407006074443,134.11754170140145,-61.5,0
109.50213883489786,137.80659823253586,-57.0,0
111.80140948635182,138.0278862145994,-51.5,0
111.44773632710533,137.10288517682488,-51.5,0
114.57231633872775,136.9396161800679,-59.0,0
117.30890486184887,135.0156588625544,-61.5,0
117.63285225945035,137.77659162902637,-61.0,0
119.29445205824399,137.66152917199247,-62.5,0
111.4674595562214,135.70565393073156,-59.0,0
112.26766451313631,139.5323056271065,-56.0,0
113.70288093537948,136.7302466962534,-55.5,0
112.72396177698994,141.0024067470996,-51.5,0
113.58850340937497,136.228875031715,-59.0,0
117.45005538443797,131.42493911924603,-64.0,0
114.37021014880204,135.39748664251903,-62.5,0
113.02350096595933,137.36578453792262,-63.5,0
118.6353807449965,135.90215940115488,-62.5,0
119.740300304655,137.0020335304953,-57.5,0
120.73101758982628,136.97437063332228,-49.5,0
120.60114380073551,137.77195719793966,-52.0,0
118.54416174597972,139.74708063264222,-53.5,0
118.9949140464783,137.931713513156,-58.5,0
117.2769980739564,135.21603477292905,-63.5,0
113.21419818951195,135.80058203195162,-62.5,0
119.78990623819587,137.03886491454855,-61.5,0
116.88806835811081,135.50897421631083,-59.0,0
93.17190867936263,135.52940995515488,-100.0,0
103.84936944201144,136.96387127798533,-96.0,0
92.69838756428629,133.08102114995344,-98.0,0
77.34402707118763,125.94249081088763,-92.0,0
88.65887222028283,131.1926737851735,-96.0,0
126.29229071997156,139.74590427609397,-98.0,0
112.36988073016062,130.83551819032928,-100.0,0
85.51381326345837,132.57589677386957,-99.5,0
109.3348085378264,131.84882370346227,-98.0,0
119.7761752624927,135.55384408949945,-97.5,0
109.03446816906603,132.99688998205826,-97.5,0
87.69988238852683,130.5206109720878,-94.0,0
97.82352857625152,129.24747372711508,-93.5,0
132.2393838950916,137.05100388912265,-101.0,0
133.28670098777437,140.8024485128677,-97.0,0
126.90760463580207,136.10929164709117,-101.5,0
129.6199475674937,126.87238357095298,-158.0,0
133.5778904394687,122.11688316194962,-155.5,0
109.8576612945121,120.86304696234806,-162.0,0
109.8576612945121,120.86304696234806,-162.0,0
109.8576612945121,120.86304696234806,-162.0,0
109.8576612945121,120.86304696234806,-162.0,0
109.8576612945121,120.86304696234806,-162.0,0
109.8576612945121,120.86304696234806,-162.0,0
109.8576612945121,120.86304696234806,-162.0,0
55.314713143287605,114.45976974312893,-170.5,0
55.314713143287605,114.45976974312893,-170.5,0
55.314713143287605,114.45976974312893,-170.5,0
55.314713143287605,114.45976974312893,-170.5,0
55.314713143287605,114.45976974312893,-170.5,0
55.314713143287605,114.45976974312893,-170.5,0
76.27962172348833,117.64286649696703,-166.5,0
97.67980001992989,120.52414869941438,-166.5,0
85.93538436006442,114.94727917110609,-170.5,0
91.99059951503632,119.31661110241622,-165.0,0
81.80748396735801,114.52220522750088,-169.5,0
118.67968669627041,118.5924176460729,-158.5,0
95.7705967171835,121.18541687727615,-166.5,0
53.456079213203125,117.77793288453174,-163.5,0
52.478689508148264,118.37268839229132,-158.5,0
89.40163241270264,128.6997502400557,-125.5,0
89.40163241270264,128.6997502400557,-125.5,0
89.40163241270264,128.6997502400557,-125.5,0
89.40163241270264,128.6997502400557,-125.5,0
86.91175385445398,131.10728549268967,-124.5,0
86.91175385445398,131.10728549268967,-124.5,0
86.91175385445398,131.10728549268967,-124.5,0
86.91175385445398,131.10728549268967,-124.5,0
98.50676667296881,126.7809879085425,-123.0,0
79.54682229982039,128.60056470151437,-122.5,0
50.38454168301544,128.51932031451844,-126.5,0
44.86592104306234,134.92640695305005,-120.0,0
67.44360074379097,123.263235182613,-118.0,0
119.59263423406688,128.03580839949524,-119.0,0
115.41757614649276,129.31439535419415,-118.5,0
58.482149778552966,127.9974973988777,-122.5,0
48.85063882391075,132.59604822753047,-120.0,0
48.73288862033106,128.94145732882853,-119.0,0
76.40338231417226,127.43588075032044,-120.0,0
107.78306236507908,131.8910700435553,-117.0,0
70.49601214113132,130.87658260532106,-121.5,0
46.91474410727557,125.18449985250122,-126.5,0
41.74637741727071,132.2885924713557,-116.5,0
65.6348203021832,124.75369539622055,-122.5,0
96.15567280205283,131.04709089298896,-117.0,0
70.48813264784832,127.12976596607791,-122.0,0
42.02626891751989,125.07269154999724,-127.5,0
31.773485963472144,137.50036976068105,-115.0,0
55.35208404125438,123.36800521050466,-128.0,0
