0,1,2,3,4,5,y
170.45758763200033,151.62970764516396,164.94644058782242,152.0017616431345,169.2586019060167,150.90113253299407,0
169.2586019060167,150.90113253299407,160.1837366011396,151.01342464577036,175.73981544979554,152.1587871383907,0
173.67904004449966,151.48293785837268,157.068101651807,149.03444040975566,157.5426377302274,141.0825127891354,0
145.66488227383417,142.793592656028,158.36878273331732,152.32229174634566,151.35682481826413,142.18850469522735,0
142.97901509357015,145.09797227999965,156.7266098878221,151.59035094643778,149.83658377316291,147.10629597939626,0
144.16271206836697,142.54030698584594,160.61614473663158,153.57028324476906,140.75738641344972,144.49649749783683,0
140.75738641344972,144.49649749783683,160.96941904082618,158.84965089387768,173.5015548807655,153.43328290894252,0
174.33645576930698,144.85956389051063,164.9168743501881,150.58630449147316,170.5968676257873,142.65432098568485,0
164.11043198188253,146.25003435607726,159.53880777770252,154.75956617187146,163.4550030775777,142.41478140749823,0
159.8890607713369,149.64344322834398,160.06107045754104,148.3891574762808,179.26390628844229,164.21991171746498,0
177.85330818926596,164.50504313996643,154.7927533964167,168.08758281505501,172.1117309001015,162.96674990250395,0
167.03865946549337,163.7861795835159,164.5399465730933,166.45345212520274,173.12933565965355,169.62734194378723,0
166.12988147640252,165.2641071345414,164.31291307673857,167.33965366651296,170.14399803712254,161.2808247552861,0
151.51396646535278,166.70416879297278,158.3640140410441,146.61561776622582,169.07737339046628,149.6578069915432,0
165.50258900550372,149.3055006205665,154.60102595630897,148.36700432376986,161.40497025388112,153.85741902058285,0
172.45952216119917,150.1155408081164,159.38552263731748,148.50478161114123,154.8801779572923,145.02888603109903,0
177.82566025102204,152.7834077129068,147.86741850660061,152.42543604030564,147.52161691740494,144.29747104385459,0
147.52161691740494,144.29747104385459,154.1968721608277,148.25719247647874,163.59416454295115,150.3118063599201,0
158.33220916020372,150.276687979309,154.06919353734813,146.37823656983258,164.33088397283947,148.0058669900445,0
161.51317633429167,146.7048783811919,158.0572996485366,145.19757553309128,157.292984604734,146.1791568307168,0
153.06163379245714,146.24459247439063,156.88359484192546,139.16467265186594,153.74662505867275,133.7183712850711,0
149.32339421594705,140.33034704282412,147.5972179950795,142.36864176759545,154.21229526763574,135.72157116341558,0
155.5311984926183,141.05133851028455,152.42395177059163,134.86177160831724,161.70398862787428,133.88170545855897,0
167.7751718389963,147.45969341274275,178.4036789715588,157.24768980132822,178.76588292272356,159.18447873791095,0
179.78706589221957,157.8203244233099,179.02789786229948,156.00906216623838,178.8181700150145,156.05216075478987,0
171.80904230455525,155.12295810480674,179.63035493815298,156.63914853404415,179.52714322949566,161.71909780390564,0
164.95323997612522,159.93314464986142,168.55370298452,159.84965627948284,169.33333143506505,159.78556050922018,0
167.97350999947506,160.66817337365055,167.4309683305099,157.95311285814884,175.36338451627634,161.2097140720531,0
173.90406732655774,160.57809189321827,175.57456671372302,150.26524163219503,174.95261889717582,151.11480403015068,0
171.75624074938415,151.74197038529311,179.11013428641115,148.72019430421707,166.78075326929806,155.46312549894142,0
168.14459545606547,155.46312549894142,178.47432298761876,146.82609670378505,171.02642845789336,131.7676148064057,0
175.1334750304202,128.3138371521257,160.17514063121914,135.03582478452262,173.7792437214566,131.52504528045887,0
168.23544796539483,122.40455784264913,160.62479110193365,129.66066936127146,172.51004731536756,123.88057648147426,0
162.65832772348935,122.82984251907851,140.1944289077348,177.73949808885874,133.50343651893732,177.82525588538996,0
133.3536964227966,174.4859539082717,142.02129022639605,177.76882539196876,168.232464734565,156.04906409802183,0
